Genes	Disease	Inheritance	MIM	Disorder_Group	Project	GenCC
NAGA	Alpha-N-acetylgalactosaminidase deficiency type 1	AR	609241	Inherited disorders of metabolism	BabySeq_GroupA	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
NAGA	Alpha-N-acetylgalactosaminidase deficiency type 2	AR	609242	Inherited disorders of metabolism	BabySeq_GroupA	Definitive-G2P; Strong-Genomics England PanelApp
NEFL	Charcot-Marie-Tooth disease, dominant intermediate G	AD	617882	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	
NEFL	Charcot-Marie-Tooth disease type 2E	AD	607684	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	
NEFL	Charcot-Marie-Tooth disease type 1F	AD	607734	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	Strong-Labcorp Genetics (formerly Invitae)
PAX3	Waardenburg syndrome type 1	AD	193500	Complex genetic syndromes	BabySeq_GroupA	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P; Moderate-G2P
PAX3	Waardenburg syndrome type 3	Multipleand/orcomplexpattern	148820	Complex genetic syndromes	BabySeq_GroupA	Strong-Labcorp Genetics (formerly Invitae); Limited-Ambry Genetics
PMP22	Charcot-Marie-Tooth disease, type IA	AD	118220	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	Definitive-Ambry Genetics;Laboratory for Molecular Medicine;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
PMP22	Charcot-Marie-Tooth disease type 1E	AD	118300	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	Moderate-PanelApp Australia;Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
PROC	Thrombophilia due to protein C deficiency, autosomal dominant	AD	176860	Haematological disorders	BabySeq_GroupA	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics
PROC	Thrombophilia due to protein C deficiency, autosomal recessive	AR	612304	Haematological disorders	BabySeq_GroupA	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
SMN1	Spinal muscular atrophy, type II	AR	253550	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	Strong-Genomics England PanelApp
SMN1	Spinal muscular atrophy, type IV	AR	271150	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
TNNI3	Dilated cardiomyopathy 2A	AD	611880	Cardiac and vascular disorders	BabySeq_GroupB	Definitive-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
TNNI3	Dilated cardiomyopathy 1FF	AD	613286	Cardiac and vascular disorders	BabySeq_GroupB	Strong-Labcorp Genetics (formerly Invitae)
TNNI3	Hypertrophic cardiomyopathy 7	AD	613690	Cardiac and vascular disorders	BabySeq_GroupB	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P
UGT1A1	Crigler-Najjar syndrome type 1	AR	218800	Inherited disorders of metabolism	BabySeq_GroupA	Definitive-G2P;Ambry Genetics;Laboratory for Molecular Medicine
UGT1A1	Crigler-Najjar syndrome, type II	AR	606785	Inherited disorders of metabolism	BabySeq_GroupA	Definitive-Ambry Genetics
VWF	von Willebrand disease type 1	AD	193400	Haematological disorders	BabySeq_GroupB	Strong-Labcorp Genetics (formerly Invitae)
VWF	von Willebrand disease type 3	AR	277480	Haematological disorders	BabySeq_GroupB	
VWF	von Willebrand disease type 2	Multipleand/orcomplexpattern	613554	Haematological disorders	BabySeq_GroupB	Definitive-Laboratory for Molecular Medicine; Strong-Labcorp Genetics (formerly Invitae)
AARS1	Charcot-Marie-Tooth disease axonal type 2N	AD	613287	Neuromuscular and musculoskeletal disorders	BabySeq_GroupA	Strong-Labcorp Genetics (formerly Invitae); Definitive-ClinGen
ABCB11	Progressive familial intrahepatic cholestasis type 2	AR	601847	Gastrointestinal disorders	BabySeq_GroupA	Definitive-G2P; Strong-Labcorp Genetics (formerly Invitae)
ABCB4	Progressive familial intrahepatic cholestasis type 3	AR	602347	Gastrointestinal disorders	BabySeq_GroupA	Strong-Labcorp Genetics (formerly Invitae); Definitive-ClinGen
