Genes	Disease	Inheritance	MIM	Disorder_Group	Project	GenCC
TFAP2B	Char syndrome	AD	169100	Complex genetic syndromes	NBScreening	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P
TGFBR1	Loeys-Dietz syndrome 1	AD	609192	Skeletal, skin, and connective tissue disorders	NBScreening	Definitive-G2P; Strong-PanelApp Australia;Genomics England PanelApp;Ambry Genetics;Labcorp Genetics (formerly Invitae)
TGFBR2	Loeys-Dietz syndrome 2	AD	610168	Skeletal, skin, and connective tissue disorders	NBScreening	Strong-PanelApp Australia;Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
TGM1	Autosomal recessive congenital ichthyosis 1	AR	242300	Skeletal, skin, and connective tissue disorders	NBScreening	Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P;Myriad Women’s Health
TMEM43	Arrhythmogenic right ventricular dysplasia 5	AD	604400	Cardiac and vascular disorders	NBScreening	Moderate-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
TMEM67	Joubert syndrome 6	AR	610688	Neurodevelopmental, neurodegenerative, and neurogenetic disorders;Complex genetic syndromes	NBScreening	Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae)
TMEM67	Meckel syndrome, type 3	AR	607361	Neurodevelopmental, neurodegenerative, and neurogenetic disorders;Complex genetic syndromes	NBScreening	Definitive-Ambry Genetics
TNFSF11	Autosomal recessive osteopetrosis 2	AR	259710	Skeletal, skin, and connective tissue disorders	NBScreening	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Moderate-Ambry Genetics
TP53	Li-Fraumeni syndrome 1	AD	151623	Tumor predisposition syndromes	NBScreening	Strong-Genomics England PanelApp; Strong-Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics; Definitive-G2P;ClinGen
TPM1	Hypertrophic cardiomyopathy 3	AD	115196	Cardiac and vascular disorders	NBScreening	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P
TPP1	Neuronal ceroid lipofuscinosis 2	AR	204500	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	NBScreening	Definitive-G2P;Myriad Women’s Health; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
TREX1	Aicardi-Goutieres syndrome 1	AR	225750	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	NBScreening	Definitive-G2P; Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae)
TRIM37	Mulibrey nanism syndrome	AR	253250	Complex genetic syndromes	NBScreening	Definitive-G2P;ClinGen; Strong-Labcorp Genetics (formerly Invitae);Ambry Genetics
TSC1	Tuberous sclerosis 1	AD	191100	Tumor predisposition syndromes	NBScreening	Definitive-G2P;Ambry Genetics; Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae)
TSC2	Tuberous sclerosis 2	AD	613254	Tumor predisposition syndromes	NBScreening	Definitive-G2P;Laboratory for Molecular Medicine;Ambry Genetics; Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae)
TSEN54	Pontocerebellar hypoplasia type 4	AR	225753	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	NBScreening	Strong-PanelApp Australia
SKIC3	Trichohepatoenteric syndrome 1	AR	222470	Gastrointestinal disorders;Complex genetic syndromes	NBScreening	Definitive-G2P;Ambry Genetics; Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae)
TWIST1	Saethre-Chotzen syndrome	AD	101400	Complex genetic syndromes	NBScreening	Definitive-G2P;Laboratory for Molecular Medicine;ClinGen; Strong-PanelApp Australia;Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
TYMP	Mitochondrial DNA depletion syndrome 1	AR	603041	Inherited disorders of metabolism	NBScreening	Strong-Labcorp Genetics (formerly Invitae)
UBR1	Johanson-Blizzard syndrome	AR	243800	Complex genetic syndromes	NBScreening	Definitive-G2P; Strong-Labcorp Genetics (formerly Invitae)
UNC13D	Familial hemophagocytic lymphohistiocytosis 3	AR	608898	Autoimmune, inflammatory, and immunogenetic disorders	NBScreening	Strong-Labcorp Genetics (formerly Invitae);Laboratory for Molecular Medicine; Definitive-Ambry Genetics;ClinGen
VCAN	Wagner syndrome	AD	143200	Complex genetic syndromes	NBScreening	Moderate-Ambry Genetics; Definitive-G2P;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
VHL	Von Hippel-Lindau syndrome	AD	193300	Tumor predisposition syndromes	NBScreening	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
VIPAS39	Arthrogryposis, renal dysfunction, and cholestasis 2	AR	613404	Complex genetic syndromes	NBScreening	Definitive-G2P;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
VPS13B	Cohen syndrome	AR	216550	Complex genetic syndromes	NBScreening	Definitive-G2P;Laboratory for Molecular Medicine;Myriad Women’s Health;ClinGen; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
WAS	Wiskott-Aldrich syndrome	XLR	301000	Autoimmune, inflammatory, and immunogenetic disorders;Haematological disorders	NBScreening	Definitive-Ambry Genetics;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
WAS	X-linked severe congenital neutropenia	XLR	300299	Autoimmune, inflammatory, and immunogenetic disorders;Haematological disorders	NBScreening	Moderate-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae); Definitive-ClinGen
WAS	Thrombocytopenia 1	XLR	313900	Autoimmune, inflammatory, and immunogenetic disorders;Haematological disorders	NBScreening	
WDR62	Microcephaly 2, primary, autosomal recessive, with or without cortical malformations	AR	604317	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	NBScreening	Definitive-G2P;Illumina;ClinGen; Strong-Labcorp Genetics (formerly Invitae);Laboratory for Molecular Medicine;Ambry Genetics
WFS1	Wolfram syndrome 1	AR	222300	Endocrine disorders;Hearing disorders	NBScreening	Strong-PanelApp Australia;Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
WFS1	Autosomal dominant nonsyndromic hearing loss 6	AD	600965	Hearing disorders;Endocrine disorders	NBScreening	Strong-Labcorp Genetics (formerly Invitae)
WRN	Werner syndrome	AR	277700	Complex genetic syndromes	NBScreening	Definitive-Ambry Genetics;G2P;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
WT1	Frasier syndrome	AD	136680	Complex genetic syndromes;Tumor predisposition syndromes	NBScreening	
WT1	Drash syndrome	AD	194080	Complex genetic syndromes;Tumor predisposition syndromes	NBScreening	Definitive-G2P;ClinGen
WT1	Wilms tumor 1	AD	194070	Complex genetic syndromes;Tumor predisposition syndromes	NBScreening	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
ZEB2	Mowat-Wilson syndrome	AD	235730	Complex genetic syndromes	NBScreening	Definitive-G2P;Ambry Genetics;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
ZIC2	Holoprosencephaly 5	AD	609637	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	NBScreening	Definitive-G2P;Ambry Genetics; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
ZMPSTE24	Restrictive dermopathy 1	AR	275210	Skeletal, skin, and connective tissue disorders	NBScreening	Strong-Ambry Genetics; Definitive-G2P; Strong-Labcorp Genetics (formerly Invitae)
ZNF469	Brittle cornea syndrome 1	AR	229200	Eye disorders	NBScreening	Strong-PanelApp Australia;Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-G2P
ABCA12	Autosomal recessive congenital ichthyosis 4B	AR	242500	Skeletal, skin, and connective tissue disorders	NBScreening	Strong-Genomics England PanelApp;PanelApp Australia; Definitive-G2P
ABCA12	Autosomal recessive congenital ichthyosis 4A	AR	601277	Skeletal, skin, and connective tissue disorders	NBScreening	Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae)
CHRND	Congenital myasthenic syndrome 3A	Multipleand/orcomplexpattern	616321	Neuromuscular and musculoskeletal disorders	NBScreening	Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae)
CHRND	Congenital myasthenic syndrome 3B	AR	616322	Neuromuscular and musculoskeletal disorders	NBScreening	Strong-Genomics England PanelApp;PanelApp Australia
CHRND	Congenital myasthenic syndrome 3C	AR	616323	Neuromuscular and musculoskeletal disorders	NBScreening	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
CHRNE	Congenital myasthenic syndrome 4C	AR	608931	Neuromuscular and musculoskeletal disorders	NBScreening	Strong-Genomics England PanelApp
CHRNE	Congenital myasthenic syndrome 4B	AR	616324	Neuromuscular and musculoskeletal disorders	NBScreening	Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae)
CHRNE	Congenital myasthenic syndrome 4A	Multipleand/orcomplexpattern	605809	Neuromuscular and musculoskeletal disorders	NBScreening	Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae)
DGUOK	Mitochondrial DNA depletion syndrome 3 (hepatocerebral type)	AR	251880	Inherited disorders of metabolism	NBScreening	Definitive-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
DGUOK	Mitochondrial DNA depletion syndrome 15 (hepatocerebral type)	AR	617156	Inherited disorders of metabolism	NBScreening	
EGR2	Charcot-Marie-Tooth disease type 4E	AD	605253	Neuromuscular and musculoskeletal disorders	NBScreening	Definitive-G2P; Limited-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
EGR2	Charcot-Marie-Tooth disease type 1D	AD	607678	Neuromuscular and musculoskeletal disorders	NBScreening	Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae)
GDAP1	Charcot-Marie-Tooth disease type 4A	AR	214400	Neuromuscular and musculoskeletal disorders	NBScreening	
GDAP1	Charcot-Marie-Tooth disease axonal type 2K	AR	607831	Neuromuscular and musculoskeletal disorders	NBScreening	Strong-Labcorp Genetics (formerly Invitae)
GDAP1	Charcot-Marie-Tooth disease recessive intermediate A	AR	608340	Neuromuscular and musculoskeletal disorders	NBScreening	Strong-Labcorp Genetics (formerly Invitae)
GLB1	Infantile GM1 gangliosidosis	AR	230500	Inherited disorders of metabolism	NBScreening	Strong-Genomics England PanelApp
GLB1	GM1 gangliosidosis type 3	AR	230650	Inherited disorders of metabolism	NBScreening	Definitive-G2P; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
GLB1	GM1 gangliosidosis type 2	AR	230600	Inherited disorders of metabolism	NBScreening	Strong-Genomics England PanelApp
GSS	Glutathione synthetase deficiency with 5-oxoprolinuria	AR	266130	Inherited disorders of metabolism	NBScreening	Strong-Labcorp Genetics (formerly Invitae)
GSS	Glutathione synthetase deficiency without 5-oxoprolinuria	AR	231900	Inherited disorders of metabolism	NBScreening	
KRT14	Epidermolysis bullosa simplex 1C, localized	AD	131800	Skeletal, skin, and connective tissue disorders	NBScreening	Strong-Genomics England PanelApp
KRT14	Epidermolysis bullosa simplex, Koebner type	AD	131900	Skeletal, skin, and connective tissue disorders	NBScreening	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
LAMA3	Epidermolysis bullosa, junctional 2B, severe	AR	619784	Skeletal, skin, and connective tissue disorders	NBScreening	
LAMA3	Epidermolysis bullosa, junctional 2A, intermediate	AR	619783	Skeletal, skin, and connective tissue disorders	NBScreening	
LAMC2	Epidermolysis bullosa, junctional 3B, severe	AR	619786	Skeletal, skin, and connective tissue disorders	NBScreening	
LAMC2	Epidermolysis bullosa, junctional 3A, intermediate	AR	619785	Skeletal, skin, and connective tissue disorders	NBScreening	
MPZ	Charcot-Marie-Tooth disease type 2I	AD	607677	Neuromuscular and musculoskeletal disorders	NBScreening	
MPZ	Charcot-Marie-Tooth disease type 1B	AD	118200	Neuromuscular and musculoskeletal disorders	NBScreening	Definitive-Laboratory for Molecular Medicine; Strong-Labcorp Genetics (formerly Invitae)
MPZ	Charcot-Marie-Tooth disease type 2J	AD	607736	Neuromuscular and musculoskeletal disorders	NBScreening	
MPZ	Charcot-Marie-Tooth disease dominant intermediate D	AD	607791	Neuromuscular and musculoskeletal disorders	NBScreening	
NAGA	Alpha-N-acetylgalactosaminidase deficiency type 1	AR	609241	Inherited disorders of metabolism	NBScreening	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
NAGA	Alpha-N-acetylgalactosaminidase deficiency type 2	AR	609242	Inherited disorders of metabolism	NBScreening	Definitive-G2P; Strong-Genomics England PanelApp
NEFL	Charcot-Marie-Tooth disease, dominant intermediate G	AD	617882	Neuromuscular and musculoskeletal disorders	NBScreening	
NEFL	Charcot-Marie-Tooth disease type 2E	AD	607684	Neuromuscular and musculoskeletal disorders	NBScreening	
NEFL	Charcot-Marie-Tooth disease type 1F	AD	607734	Neuromuscular and musculoskeletal disorders	NBScreening	Strong-Labcorp Genetics (formerly Invitae)
PAX3	Waardenburg syndrome type 1	AD	193500	Complex genetic syndromes	NBScreening	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P; Moderate-G2P
PAX3	Waardenburg syndrome type 3	Multipleand/orcomplexpattern	148820	Complex genetic syndromes	NBScreening	Strong-Labcorp Genetics (formerly Invitae); Limited-Ambry Genetics
PMP22	Charcot-Marie-Tooth disease, type IA	AD	118220	Neuromuscular and musculoskeletal disorders	NBScreening	Definitive-Ambry Genetics;Laboratory for Molecular Medicine;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
PMP22	Charcot-Marie-Tooth disease type 1E	AD	118300	Neuromuscular and musculoskeletal disorders	NBScreening	Moderate-PanelApp Australia;Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
PROC	Thrombophilia due to protein C deficiency, autosomal dominant	AD	176860	Haematological disorders	NBScreening	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics
PROC	Thrombophilia due to protein C deficiency, autosomal recessive	AR	612304	Haematological disorders	NBScreening	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
SMN1	Spinal muscular atrophy, type II	AR	253550	Neuromuscular and musculoskeletal disorders	NBScreening	Strong-Genomics England PanelApp
SMN1	Spinal muscular atrophy, type IV	AR	271150	Neuromuscular and musculoskeletal disorders	NBScreening	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
SMN1	Werdnig-Hoffmann disease	AR	253300	Neuromuscular and musculoskeletal disorders	NBScreening	Strong-Genomics England PanelApp; Definitive-Ambry Genetics
SMN1	Kugelberg-Welander disease	AR	253400	Neuromuscular and musculoskeletal disorders	NBScreening	Strong-Genomics England PanelApp
TNNI3	Dilated cardiomyopathy 2A	AD	611880	Cardiac and vascular disorders	NBScreening	Definitive-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
TNNI3	Dilated cardiomyopathy 1FF	AD	613286	Cardiac and vascular disorders	NBScreening	Strong-Labcorp Genetics (formerly Invitae)
TNNI3	Hypertrophic cardiomyopathy 7	AD	613690	Cardiac and vascular disorders	NBScreening	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-G2P
UGT1A1	Crigler-Najjar syndrome type 1	AR	218800	Inherited disorders of metabolism	NBScreening	Definitive-G2P;Ambry Genetics;Laboratory for Molecular Medicine
UGT1A1	Crigler-Najjar syndrome, type II	AR	606785	Inherited disorders of metabolism	NBScreening	Definitive-Ambry Genetics
VWF	von Willebrand disease type 1	AD	193400	Haematological disorders	NBScreening	Strong-Labcorp Genetics (formerly Invitae)
VWF	von Willebrand disease type 3	AR	277480	Haematological disorders	NBScreening	
VWF	von Willebrand disease type 2	Multipleand/orcomplexpattern	613554	Haematological disorders	NBScreening	Definitive-Laboratory for Molecular Medicine; Strong-Labcorp Genetics (formerly Invitae)
AARS1	Charcot-Marie-Tooth disease axonal type 2N	AD	613287	Neuromuscular and musculoskeletal disorders	NBScreening	Strong-Labcorp Genetics (formerly Invitae); Definitive-ClinGen
ABCB11	Progressive familial intrahepatic cholestasis type 2	AR	601847	Gastrointestinal disorders	NBScreening	Definitive-G2P; Strong-Labcorp Genetics (formerly Invitae)
ABCB4	Progressive familial intrahepatic cholestasis type 3	AR	602347	Gastrointestinal disorders	NBScreening	Strong-Labcorp Genetics (formerly Invitae); Definitive-ClinGen
ABCC9	Dilated cardiomyopathy 1O	AD	608569	Cardiac and vascular disorders	NBScreening	Limited-Illumina; Moderate-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
ABCC9	Hypertrichotic osteochondrodysplasia	AD	239850	Cardiac and vascular disorders	NBScreening	Definitive-G2P; Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae)
ACAD8	Deficiency of isobutyryl-CoA dehydrogenase	AR	611283	Inherited disorders of metabolism	NBScreening	Strong-Labcorp Genetics (formerly Invitae);Ambry Genetics; Definitive-ClinGen
ACADM	Medium-chain acyl-coenzyme A dehydrogenase deficiency	AR	201450	Inherited disorders of metabolism	NBScreening	Definitive-G2P;ClinGen; Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae)
ACOX1	Acyl-CoA oxidase deficiency	AR	264470	Inherited disorders of metabolism	NBScreening	Definitive-G2P;ClinGen; Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae)
ACSF3	Combined malonic and methylmalonic acidemia	AR	614265	Inherited disorders of metabolism	NBScreening	Strong-Labcorp Genetics (formerly Invitae); Definitive-ClinGen
ACTC1	Dilated cardiomyopathy 1R	AD	613424	Cardiac and vascular disorders	NBScreening	Strong-Labcorp Genetics (formerly Invitae)
ACTC1	Hypertrophic cardiomyopathy 11	AD	612098	Cardiac and vascular disorders	NBScreening	Strong-PanelApp Australia;Ambry Genetics;Labcorp Genetics (formerly Invitae); Definitive-G2P
ALDH5A1	Succinate-semialdehyde dehydrogenase deficiency	AR	271980	Inherited disorders of metabolism	NBScreening	Definitive-G2P;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
ALS2	Amyotrophic lateral sclerosis type 2, juvenile	AR	205100	Neuromuscular and musculoskeletal disorders	NBScreening	Strong-Genomics England PanelApp
ANO5	Autosomal recessive limb-girdle muscular dystrophy type 2L	AR	611307	Neuromuscular and musculoskeletal disorders	NBScreening	Limited-G2P; Strong-Labcorp Genetics (formerly Invitae)
ARFGEF2	Periventricular heterotopia with microcephaly, autosomal recessive	AR	608097	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	NBScreening	Strong-G2P;Labcorp Genetics (formerly Invitae);ClinGen
ODAD2	Primary ciliary dyskinesia 23	AR	615451	Respiratory system disorders	NBScreening	Definitive-G2P;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
ATM	Ataxia-telangiectasia syndrome	AR	208900	Tumor predisposition syndromes	NBScreening	Definitive-G2P;Ambry Genetics;Laboratory for Molecular Medicine;ClinGen; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
ATP1A2	Migraine, familial hemiplegic, 2	AD	602481	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	NBScreening	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Ambry Genetics;G2P
ATP8B1	Progressive familial intrahepatic cholestasis type 1	AR	211600	Gastrointestinal disorders	NBScreening	Definitive-G2P;Laboratory for Molecular Medicine; Strong-Labcorp Genetics (formerly Invitae)
AVPR2	Diabetes insipidus, nephrogenic, X-linked	XLR	304800	Endocrine disorders	NBScreening	Definitive-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
AVPR2	Nephrogenic syndrome of inappropriate antidiuresis	XLR	300539	Endocrine disorders	NBScreening	Moderate-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
BAAT	Bile acid conjugation defect 1	AR	619232	Inherited disorders of metabolism	NBScreening	Limited-Ambry Genetics
BAG3	Dilated cardiomyopathy 1HH	AD	613881	Cardiac and vascular disorders	NBScreening	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P
BAG3	Myofibrillar myopathy 6	AD	612954	Neurodevelopmental, neurodegenerative, and neurogenetic disorders	NBScreening	Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae)
BBS10	Bardet-Biedl syndrome 10	AR	615987	Complex genetic syndromes	NBScreening	Definitive-G2P;Myriad Women’s Health; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
BBS12	Bardet-Biedl syndrome 12	AR	615989	Complex genetic syndromes	NBScreening	Definitive-G2P;Ambry Genetics;Myriad Women’s Health; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
BCKDHA	Maple syrup urine disease type 1A	AR	248600	Inherited disorders of metabolism	NBScreening	Definitive-G2P;Myriad Women’s Health;ClinGen; Definitive-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
BCKDHB	Maple syrup urine disease type 1B	AR	620698	Inherited disorders of metabolism	NBScreening	Definitive-G2P;Myriad Women’s Health;ClinGen
BMPR2	Pulmonary hypertension, primary, 1	AD	178600	Respiratory system disorders	NBScreening	Strong-Labcorp Genetics (formerly Invitae); Definitive-Laboratory for Molecular Medicine
BMPR2	Pulmonary venoocclusive disease 1	AD	265450	Respiratory system disorders	NBScreening	
CA2	Osteopetrosis with renal tubular acidosis	AR	259730	Renal disorders	NBScreening	Definitive-G2P; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
CAPN3	Autosomal recessive limb-girdle muscular dystrophy type 2A	AR	253600	Neuromuscular and musculoskeletal disorders	NBScreening	Strong-Labcorp Genetics (formerly Invitae); Definitive-Myriad Women’s Health
CCDC39	Primary ciliary dyskinesia 14	AR	613807	Respiratory system disorders	NBScreening	Definitive-G2P;ClinGen; Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae)
CCDC40	Primary ciliary dyskinesia 15	AR	613808	Respiratory system disorders	NBScreening	Definitive-G2P;Ambry Genetics;ClinGen; Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae);Laboratory for Molecular Medicine
CDAN1	Anemia, congenital dyserythropoietic, type 1a	AR	224120	Haematological disorders	NBScreening	Limited-Genomics England PanelApp; Definitive-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
CHRNA1	Congenital myasthenic syndrome 1A	Multipleand/orcomplexpattern	601462	Neuromuscular and musculoskeletal disorders	NBScreening	Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae)
CHRNA1	Myasthenic syndrome, congenital, 1B, fast-channel	AR	608930	Neuromuscular and musculoskeletal disorders	NBScreening	Strong-Genomics England PanelApp;PanelApp Australia;Labcorp Genetics (formerly Invitae)
CLCN5	Dent disease type 1	XLR	300009	Renal disorders	NBScreening	Definitive-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
CLN6	Ceroid lipofuscinosis, neuronal, 6A	AR	601780	Inherited disorders of metabolism	NBScreening	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Laboratory for Molecular Medicine;G2P;Myriad Women’s Health
COL11A1	Stickler syndrome type 2	AD	604841	Complex genetic syndromes	NBScreening	Strong-PanelApp Australia;Genomics England PanelApp; Definitive-G2P
COL11A1	Fibrochondrogenesis 1	AR	228520	Complex genetic syndromes	NBScreening	Definitive-G2P; Strong-Labcorp Genetics (formerly Invitae)
COL2A1	Stickler syndrome type 1	AD	108300	Complex genetic syndromes	NBScreening	Strong-PanelApp Australia;Genomics England PanelApp; Definitive-Illumina;ClinGen
COL3A1	Ehlers-Danlos syndrome, type 4	AD	130050	Skeletal, skin, and connective tissue disorders	NBScreening	Strong-PanelApp Australia;Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Laboratory for Molecular Medicine;G2P
COL4A5	X-linked Alport syndrome	XLD	301050	Renal disorders	NBScreening	Strong-PanelApp Australia;Genomics England PanelApp;Labcorp Genetics (formerly Invitae); Definitive-Myriad Women’s Health
COL5A1	Ehlers-Danlos syndrome, classic type, 1	AD	130000	Skeletal, skin, and connective tissue disorders	NBScreening	Strong-PanelApp Australia;Genomics England PanelApp; Definitive-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
COL5A2	Ehlers-Danlos syndrome, classic type, 2	AD	130010	Skeletal, skin, and connective tissue disorders	NBScreening	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
COL6A1	Ullrich congenital muscular dystrophy 1A	AR	254090	Neuromuscular and musculoskeletal disorders	NBScreening	Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
COL6A2	Ullrich congenital muscular dystrophy 1B	AR	620727	Neuromuscular and musculoskeletal disorders	NBScreening	Definitive-G2P
COL6A3	Ullrich congenital muscular dystrophy 1C	AR	620728	Neuromuscular and musculoskeletal disorders	NBScreening	Definitive-G2P
CRTAP	Osteogenesis imperfecta type 7	AR	610682	Skeletal, skin, and connective tissue disorders	NBScreening	Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae)
CSRP3	Hypertrophic cardiomyopathy 12	AD	612124	Cardiac and vascular disorders	NBScreening	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Moderate-Ambry Genetics
CYBB	Granulomatous disease, chronic, X-linked	XLR	306400	Autoimmune, inflammatory, and immunogenetic disorders	NBScreening	Definitive-Ambry Genetics;G2P; Strong-Labcorp Genetics (formerly Invitae)
CYBB	X-linked Mendelian susceptibility to mycobacterial diseases due to CYBB deficiency	XLR	300645	Autoimmune, inflammatory, and immunogenetic disorders	NBScreening	Limited-Labcorp Genetics (formerly Invitae)
CYP21A2	Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency	AR	201910	Endocrine disorders;Inherited disorders of metabolism	NBScreening	Strong-Labcorp Genetics (formerly Invitae); Definitive-Laboratory for Molecular Medicine;Myriad Women’s Health
CYP27B1	Vitamin D-dependent rickets, type 1A	AR	264700	Skeletal, skin, and connective tissue disorders	NBScreening	Strong-Labcorp Genetics (formerly Invitae)
DBT	Maple syrup urine disease type 2	AR	620699	Inherited disorders of metabolism	NBScreening	Definitive-G2P;Myriad Women’s Health
DDB2	Xeroderma pigmentosum, group E	AR	278740	Skeletal, skin, and connective tissue disorders	NBScreening	Definitive-G2P;ClinGen; Strong-Genomics England PanelApp;Labcorp Genetics (formerly Invitae)
DDC	Deficiency of aromatic-L-amino-acid decarboxylase	AR	608643	Inherited disorders of metabolism	NBScreening	Definitive-G2P;Ambry Genetics;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
DES	Dilated cardiomyopathy 1I	AD	604765	Cardiac and vascular disorders	NBScreening	Strong-Ambry Genetics;Labcorp Genetics (formerly Invitae); Definitive-G2P
DES	Desmin-related myofibrillar myopathy	Multipleand/orcomplexpattern	601419	Cardiac and vascular disorders	NBScreening	Definitive-Ambry Genetics;G2P; Strong-Labcorp Genetics (formerly Invitae)
DKC1	Dyskeratosis congenita, X-linked	XLR	305000	Skeletal, skin, and connective tissue disorders	NBScreening	Strong-Labcorp Genetics (formerly Invitae); Definitive-G2P;ClinGen
DNAAF1	Primary ciliary dyskinesia 13	AR	613193	Respiratory system disorders	NBScreening	Strong-PanelApp Australia;Labcorp Genetics (formerly Invitae); Definitive-ClinGen
EDA	Hypohidrotic X-linked ectodermal dysplasia	XLR	305100	Skeletal, skin, and connective tissue disorders	NBScreening	Definitive-G2P; Strong-Labcorp Genetics (formerly Invitae)
EFTUD2	Mandibulofacial dysostosis-microcephaly syndrome	AD	610536	Skeletal, skin, and connective tissue disorders	NBScreening	Definitive-G2P;ClinGen; Strong-Labcorp Genetics (formerly Invitae)
EMD	Emery-Dreifuss muscular dystrophy 1, X-linked	XLR	310300	Neuromuscular and musculoskeletal disorders	NBScreening	Definitive-Ambry Genetics; Strong-Labcorp Genetics (formerly Invitae)
